time,stage,Temp CPU,Temp GPU,Temp SOC0,Temp SOC1,Temp SOC2,Temp Tboard,Temp Tdiode,Temp tj,Power TOT,RAM,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,GPU,Fan pwmfan0
2025-05-14 04:46:15,0,,,,,,,,49.156,11788,0.04776474609425951,50,11,8,9,60,7,8,8,0.0,34.90196078431372
2025-05-14 04:46:20,0,,,,,,,,49.156,13797,0.24684829638312988,100,7,5,1,3,100,5,3,0.0,34.90196078431372
2025-05-14 04:46:25,0,,,,,,,,50.031,13485,0.8403148286877341,100,5,2,2,81,15,2,71,0.0,34.90196078431372
2025-05-14 04:46:30,0,,,,,,,,55.281,58065,0.847163705343946,100,1,9,0,100,3,2,2,99.8,40.3921568627451
2025-05-14 04:46:35,0,,,,,,,,56.187,58065,0.8472665256620044,100,3,7,4,100,4,2,3,99.8,46.27450980392157
2025-05-14 04:46:40,0,,,,,,,,57.156,57944,0.8472051897792022,100,0,0,2,3,4,0,100,99.8,46.27450980392157
2025-05-14 04:46:45,0,,,,,,,,57.687,57964,0.8471719767804236,100,2,7,2,2,0,1,100,99.8,46.27450980392157
2025-05-14 04:46:50,0,,,,,,,,58.75,58045,0.8471947550439538,100,2,9,2,4,1,0,100,99.8,50.19607843137255
2025-05-14 04:46:55,0,,,,,,,,58.875,57971,0.8472092618710065,100,9,4,1,3,0,0,100,99.8,50.19607843137255
2025-05-14 04:47:00,0,,,,,,,,59.312,58145,0.8472510008120006,100,4,3,3,0,0,4,100,99.8,50.19607843137255
2025-05-14 04:47:05,0,,,,,,,,60.25,58145,0.8472750516042197,100,2,7,1,2,2,1,100,99.8,54.11764705882353
2025-05-14 04:47:10,0,,,,,,,,60.406,58165,0.8473536938771901,100,2,2,2,2,5,1,100,99.8,54.11764705882353
2025-05-14 04:47:15,0,,,,,,,,61.125,58055,0.8473675644398984,100,8,2,1,2,3,0,100,99.8,54.11764705882353
2025-05-14 04:47:20,0,,,,,,,,61.406,58075,0.847418465587452,100,2,10,1,3,2,2,100,99.9,54.11764705882353
2025-05-14 04:47:25,0,,,,,,,,61.875,58176,0.8473430046362038,100,0,4,2,3,4,0,100,99.9,54.11764705882353
2025-05-14 04:47:30,0,,,,,,,,62.343,58176,0.847374563347687,100,3,4,1,1,2,1,100,99.9,58.8235294117647
